run_id,condition,order,rounds,convergence,experts,tokens,in_tokens,out_tokens,cost_usd,truncated,agent_turns,red_line_declarations,transcript_chars,agreement,position_move,dqi_justif_level,dqi_justif_content,dqi_respect,dqi_constructive,dqi_individuation,kappa_mean,judge_notes,run_folder,eval_cost_usd,eval_calls
layer_salience_low_r3,layer salience = 1 (extreme-low) [rep 3],salience,4,plateauing,2,432340,398897,33443,0.4497,0,29,14,141891,False,0.25,1.979,1.438,1.688,1.896,2.0,0.558,,data\sensitivity_20260723_000046\layer_salience_low_r3,,
layer_salience_high_r2,layer salience = 10 (extreme-high) [rep 2],salience,4,plateauing,2,481803,442453,39350,0.5089,0,30,13,164722,False,0.167,1.979,1.5,1.625,1.875,2.0,0.477,,data\sensitivity_20260723_000046\layer_salience_high_r2,,
layer_salience_high_r3,layer salience = 10 (extreme-high) [rep 3],salience,4,plateauing,2,418858,384196,34662,0.4441,0,27,10,145495,False,0.083,1.938,1.417,1.667,1.938,2.0,0.39,,data\sensitivity_20260723_000046\layer_salience_high_r3,,
layer_motivation_low_r2,layer motivation = 1 (extreme-low) [rep 2],salience,4,plateauing,1,460899,423412,37487,0.4863,0,26,17,160342,False,0.167,1.958,1.438,1.521,1.896,2.0,0.474,,data\sensitivity_20260723_000046\layer_motivation_low_r2,,
layer_motivation_low_r3,layer motivation = 1 (extreme-low) [rep 3],salience,4,plateauing,2,401892,368837,33055,0.4254,0,27,18,140316,False,0.083,1.958,1.292,1.604,1.958,2.0,0.696,,data\sensitivity_20260723_000046\layer_motivation_low_r3,,
layer_motivation_high_r2,layer motivation = 10 (extreme-high) [rep 2],salience,4,plateauing,2,437107,402158,34949,0.4589,0,28,13,143540,False,0.167,1.958,1.438,1.667,1.812,2.0,0.689,,data\sensitivity_20260723_000046\layer_motivation_high_r2,,
layer_motivation_high_r3,layer motivation = 10 (extreme-high) [rep 3],salience,4,plateauing,2,439850,404321,35529,0.4631,0,28,8,149945,False,0.167,1.938,1.5,1.625,1.917,2.0,0.609,,data\sensitivity_20260723_000046\layer_motivation_high_r3,,
layer_position_low_r2,layer position = 1 (extreme-low) [rep 2],salience,4,plateauing,2,427571,393185,34386,0.4496,0,28,11,143017,False,0.25,1.958,1.375,1.542,1.917,2.0,0.559,,data\sensitivity_20260723_000046\layer_position_low_r2,,
layer_position_low_r3,layer position = 1 (extreme-low) [rep 3],salience,4,plateauing,2,442059,406488,35571,0.4649,0,28,10,147393,False,0.25,1.979,1.375,1.562,1.979,2.0,0.417,,data\sensitivity_20260723_000046\layer_position_low_r3,,
layer_position_high_r2,layer position = 10 (extreme-high) [rep 2],salience,4,plateauing,2,546636,504006,42630,0.5698,0,30,16,183522,False,0.333,1.958,1.521,1.5,1.917,2.0,0.396,,data\sensitivity_20260723_000046\layer_position_high_r2,,
layer_position_high_r3,layer position = 10 (extreme-high) [rep 3],salience,4,plateauing,1,418075,384137,33938,0.4408,0,27,11,141212,False,0.5,1.979,1.417,1.646,1.979,2.0,0.27,,data\sensitivity_20260723_000046\layer_position_high_r3,,
layer_interaction_low_r2,layer interaction = 1 (extreme-low) [rep 2],salience,4,plateauing,2,412426,380329,32097,0.4297,0,30,14,132712,False,0.167,1.979,1.417,1.667,1.917,2.0,0.245,,data\sensitivity_20260723_000046\layer_interaction_low_r2,,
layer_interaction_low_r3,layer interaction = 1 (extreme-low) [rep 3],salience,4,plateauing,2,374254,344891,29363,0.3908,0,30,5,116125,False,0.25,1.979,1.354,1.646,2.0,2.0,0.547,,data\sensitivity_20260723_000046\layer_interaction_low_r3,,
layer_interaction_high_r2,layer interaction = 10 (extreme-high) [rep 2],salience,4,plateauing,2,497764,456758,41006,0.5271,0,29,15,169357,False,0.167,1.958,1.396,1.708,1.917,2.0,0.483,,data\sensitivity_20260723_000046\layer_interaction_high_r2,,
layer_interaction_high_r3,layer interaction = 10 (extreme-high) [rep 3],salience,4,plateauing,2,438509,403389,35120,0.4606,0,28,13,145362,False,0.167,1.958,1.354,1.583,1.854,2.0,0.744,,data\sensitivity_20260723_000046\layer_interaction_high_r3,,
order_reversed_r2,order: reversed [rep 2],reversed,4,plateauing,2,447022,411266,35756,0.4694,0,28,5,149592,False,0.417,2.0,1.396,1.542,1.833,2.0,0.611,,data\sensitivity_20260723_000046\order_reversed_r2,,
order_reversed_r3,order: reversed [rep 3],reversed,4,plateauing,1,396041,362384,33657,0.4232,0,26,9,140568,False,0.417,1.958,1.312,1.521,1.896,2.0,0.43,,data\sensitivity_20260723_000046\order_reversed_r3,,
order_random_r2,order: random [rep 2],random,4,plateauing,2,477648,440083,37565,0.4991,0,30,11,160166,False,0.083,2.0,1.479,1.562,1.958,2.0,0.584,,data\sensitivity_20260723_000046\order_random_r2,,
order_random_r3,order: random [rep 3],random,4,plateauing,2,488575,450611,37964,0.5088,0,30,17,161355,False,0.083,2.0,1.458,1.479,1.979,1.979,0.39,,data\sensitivity_20260723_000046\order_random_r3,,
main_r4,main scenario [rep 4],salience,4,progressing,2,451138,415754,35384,0.471,0,29,9,152563,False,0.083,1.938,1.562,1.479,1.979,2.0,0.492,,data\sensitivity_20260723_000046\main_r4,,
main_r5,main scenario [rep 5],salience,4,plateauing,2,453244,417088,36156,0.4755,0,29,15,145337,False,0.167,1.917,1.354,1.438,1.938,2.0,0.37,,data\sensitivity_20260723_000046\main_r5,,
mgmt_flexibility_low_r1,mgmt.flexibility=2 [rep 1],salience,4,plateauing,2,560303,515551,44752,0.588,0,30,11,189791,False,0.083,1.979,1.521,1.583,1.958,2.0,0.274,,data\sensitivity_20260723_000046\mgmt_flexibility_low_r1,,
mgmt_flexibility_low_r2,mgmt.flexibility=2 [rep 2],salience,4,plateauing,2,447927,411190,36737,0.4737,0,28,13,153397,False,0.333,1.979,1.5,1.604,2.0,2.0,0.55,,data\sensitivity_20260723_000046\mgmt_flexibility_low_r2,,
mgmt_flexibility_low_r3,mgmt.flexibility=2 [rep 3],salience,4,plateauing,2,503290,463254,40036,0.5276,0,30,9,169674,False,0.25,1.979,1.646,1.729,1.979,2.0,0.274,,data\sensitivity_20260723_000046\mgmt_flexibility_low_r3,,
mgmt_flexibility_high_r1,mgmt.flexibility=8 [rep 1],salience,4,plateauing,2,465493,428203,37290,0.489,0,29,13,161407,False,0.417,1.958,1.542,1.604,2.0,2.0,0.742,,data\sensitivity_20260723_000046\mgmt_flexibility_high_r1,,
mgmt_flexibility_high_r2,mgmt.flexibility=8 [rep 2],salience,4,plateauing,1,416425,381474,34951,0.4434,0,26,5,145613,False,0.333,1.979,1.708,1.75,1.979,1.979,0.159,,data\sensitivity_20260723_000046\mgmt_flexibility_high_r2,,
mgmt_flexibility_high_r3,mgmt.flexibility=8 [rep 3],salience,4,plateauing,0,337985,308666,29319,0.3634,0,24,12,120242,False,0.25,1.979,1.396,1.604,2.0,2.0,0.502,,data\sensitivity_20260723_000046\mgmt_flexibility_high_r3,,
igmetall_flexibility_low_r1,igmetall.flexibility=2 [rep 1],salience,4,progressing,2,408857,374636,34221,0.435,0,27,17,142889,False,0.5,1.958,1.542,1.625,1.938,2.0,0.515,,data\sensitivity_20260723_000046\igmetall_flexibility_low_r1,,
igmetall_flexibility_low_r2,igmetall.flexibility=2 [rep 2],salience,4,plateauing,2,558512,513942,44570,0.586,0,30,16,189088,False,0.417,1.979,1.604,1.604,1.979,2.0,0.391,,data\sensitivity_20260723_000046\igmetall_flexibility_low_r2,,
igmetall_flexibility_low_r3,igmetall.flexibility=2 [rep 3],salience,4,plateauing,2,488795,449650,39145,0.5134,0,29,13,164785,False,0.5,1.979,1.667,1.75,1.958,2.0,0.356,,data\sensitivity_20260723_000046\igmetall_flexibility_low_r3,,
igmetall_flexibility_high_r1,igmetall.flexibility=8 [rep 1],salience,4,plateauing,2,399320,367134,32186,0.4202,0,27,10,132647,False,0.25,1.979,1.562,1.688,2.0,2.0,0.48,,data\sensitivity_20260723_000046\igmetall_flexibility_high_r1,,
igmetall_flexibility_high_r2,igmetall.flexibility=8 [rep 2],salience,4,plateauing,2,450656,415692,34964,0.4691,0,30,14,145989,False,0.167,1.979,1.542,1.646,1.958,1.979,0.159,,data\sensitivity_20260723_000046\igmetall_flexibility_high_r2,,
igmetall_flexibility_high_r3,igmetall.flexibility=8 [rep 3],salience,4,plateauing,2,518025,477174,40851,0.5417,0,29,19,173035,False,0.417,1.979,1.562,1.729,1.938,2.0,0.331,,data\sensitivity_20260723_000046\igmetall_flexibility_high_r3,,
mgmt_dependency_low_r1,mgmt.dependency=2 [rep 1],salience,4,plateauing,2,408118,373388,34730,0.4363,0,27,16,140889,False,0.333,1.958,1.625,1.667,1.958,2.0,0.779,,data\sensitivity_20260723_000046\mgmt_dependency_low_r1,,
mgmt_dependency_low_r2,mgmt.dependency=2 [rep 2],salience,4,plateauing,2,475478,437950,37528,0.4973,0,28,10,157572,True,0.333,1.979,1.646,1.646,1.979,2.0,0.383,,data\sensitivity_20260723_000046\mgmt_dependency_low_r2,,
mgmt_dependency_low_r3,mgmt.dependency=2 [rep 3],salience,4,plateauing,2,462124,424314,37810,0.4884,0,28,18,157832,False,0.333,1.979,1.583,1.688,1.938,1.979,0.092,,data\sensitivity_20260723_000046\mgmt_dependency_low_r3,,
mgmt_dependency_high_r1,mgmt.dependency=8 [rep 1],salience,4,plateauing,2,431663,396753,34910,0.4547,0,29,11,141345,False,0.667,1.979,1.5,1.625,1.979,2.0,0.222,,data\sensitivity_20260723_000046\mgmt_dependency_high_r1,,
mgmt_dependency_high_r2,mgmt.dependency=8 [rep 2],salience,4,plateauing,2,436204,402002,34202,0.4554,0,30,9,144875,False,0.333,1.979,1.542,1.542,2.0,2.0,0.531,,data\sensitivity_20260723_000046\mgmt_dependency_high_r2,,
mgmt_dependency_high_r3,mgmt.dependency=8 [rep 3],salience,4,plateauing,2,518069,477881,40188,0.5393,0,30,14,169927,False,0.167,1.958,1.562,1.708,2.0,1.979,0.569,,data\sensitivity_20260723_000046\mgmt_dependency_high_r3,,
works_dependency_low_r1,works.dependency=2 [rep 1],salience,4,plateauing,2,375512,344115,31397,0.3994,0,26,12,129868,False,0.333,2.0,1.604,1.708,2.0,2.0,0.762,,data\sensitivity_20260723_000046\works_dependency_low_r1,,
works_dependency_low_r2,works.dependency=2 [rep 2],salience,4,plateauing,2,475546,437234,38312,0.5003,0,29,13,162774,False,0.25,1.979,1.542,1.75,1.917,2.0,0.294,,data\sensitivity_20260723_000046\works_dependency_low_r2,,
works_dependency_low_r3,works.dependency=2 [rep 3],salience,4,plateauing,2,464763,429636,35127,0.4803,0,30,11,145850,False,0.417,2.0,1.625,1.75,2.0,2.0,0.721,,data\sensitivity_20260723_000046\works_dependency_low_r3,,
works_dependency_high_r1,works.dependency=8 [rep 1],salience,4,plateauing,2,411548,376684,34864,0.4394,0,27,19,141728,False,0.083,1.979,1.604,1.688,1.979,2.0,0.265,,data\sensitivity_20260723_000046\works_dependency_high_r1,,
works_dependency_high_r2,works.dependency=8 [rep 2],salience,4,plateauing,2,422554,387195,35359,0.4495,0,27,13,149598,False,0.333,2.0,1.5,1.646,1.938,2.0,0.652,,data\sensitivity_20260723_000046\works_dependency_high_r2,,
works_dependency_high_r3,works.dependency=8 [rep 3],salience,4,progressing,2,448004,412497,35507,0.4692,0,28,17,148643,False,0.417,1.979,1.479,1.521,1.958,2.0,0.309,,data\sensitivity_20260723_000046\works_dependency_high_r3,,
saxony_assertiveness_low_r1,saxony.assertiveness=3 [rep 1],salience,4,plateauing,2,472300,432042,40258,0.5052,0,28,11,171701,False,0.333,2.0,1.479,1.75,1.979,2.0,0.516,,data\sensitivity_20260723_000046\saxony_assertiveness_low_r1,,
saxony_assertiveness_low_r2,saxony.assertiveness=3 [rep 2],salience,4,plateauing,2,504101,464464,39637,0.5267,0,30,10,168366,False,0.417,1.958,1.521,1.646,1.979,2.0,0.561,,data\sensitivity_20260723_000046\saxony_assertiveness_low_r2,,
saxony_assertiveness_low_r3,saxony.assertiveness=3 [rep 3],salience,4,plateauing,2,469603,433186,36417,0.4888,0,30,15,153996,True,0.583,1.958,1.646,1.667,1.958,2.0,0.495,,data\sensitivity_20260723_000046\saxony_assertiveness_low_r3,,
saxony_assertiveness_high_r1,saxony.assertiveness=9 [rep 1],salience,4,plateauing,2,442399,405357,37042,0.4707,0,27,10,156987,False,0.417,2.0,1.604,1.792,1.979,2.0,0.53,,data\sensitivity_20260723_000046\saxony_assertiveness_high_r1,,
saxony_assertiveness_high_r2,saxony.assertiveness=9 [rep 2],salience,4,plateauing,2,475565,438444,37121,0.4959,0,30,14,157586,False,0.333,1.979,1.583,1.708,2.0,2.0,0.508,,data\sensitivity_20260723_000046\saxony_assertiveness_high_r2,,
saxony_assertiveness_high_r3,saxony.assertiveness=9 [rep 3],salience,4,plateauing,2,379969,347496,32473,0.4068,0,26,8,134105,False,0.25,1.979,1.479,1.646,1.979,2.0,0.256,,data\sensitivity_20260723_000046\saxony_assertiveness_high_r3,,
works_cooperativeness_low_r1,works.cooperativeness=2 [rep 1],salience,4,plateauing,2,467083,429985,37098,0.4894,0,28,11,153556,False,0.333,1.979,1.5,1.625,1.958,2.0,0.263,,data\sensitivity_20260723_000046\works_cooperativeness_low_r1,,
works_cooperativeness_low_r2,works.cooperativeness=2 [rep 2],salience,4,plateauing,2,461575,424512,37063,0.4852,0,28,13,157518,False,0.417,1.958,1.542,1.646,1.896,2.0,0.545,,data\sensitivity_20260723_000046\works_cooperativeness_low_r2,,
works_cooperativeness_low_r3,works.cooperativeness=2 [rep 3],salience,4,plateauing,2,417320,383879,33441,0.4384,0,28,4,139107,False,0.583,1.958,1.521,1.667,2.0,2.0,0.782,,data\sensitivity_20260723_000046\works_cooperativeness_low_r3,,
works_cooperativeness_high_r1,works.cooperativeness=8 [rep 1],salience,4,plateauing,2,490365,450654,39711,0.5167,0,28,10,170964,False,0.583,2.0,1.667,1.708,1.979,2.0,0.553,,data\sensitivity_20260723_000046\works_cooperativeness_high_r1,,
works_cooperativeness_high_r2,works.cooperativeness=8 [rep 2],salience,4,plateauing,2,476462,438726,37736,0.4989,0,28,6,160709,False,0.25,1.979,1.479,1.75,1.979,2.0,0.305,,data\sensitivity_20260723_000046\works_cooperativeness_high_r2,,
works_cooperativeness_high_r3,works.cooperativeness=8 [rep 3],salience,4,plateauing,2,514493,473953,40540,0.5379,0,30,5,174152,False,0.333,1.958,1.542,1.708,1.938,2.0,0.285,,data\sensitivity_20260723_000046\works_cooperativeness_high_r3,,
owners_social_pref_low_r1,owners.social_pref=2 [rep 1],salience,4,plateauing,2,495179,455189,39990,0.5213,0,30,6,170615,False,0.083,1.979,1.396,1.646,2.0,2.0,0.409,,data\sensitivity_20260723_000046\owners_social_pref_low_r1,,
owners_social_pref_low_r2,owners.social_pref=2 [rep 2],salience,4,plateauing,2,522183,480972,41211,0.5462,0,30,11,175340,False,0.917,1.979,1.5,1.708,1.979,2.0,0.284,,data\sensitivity_20260723_000046\owners_social_pref_low_r2,,
owners_social_pref_low_r3,owners.social_pref=2 [rep 3],salience,4,plateauing,0,384889,353066,31823,0.408,0,24,12,132437,False,0.5,1.979,1.583,1.667,1.979,2.0,0.35,,data\sensitivity_20260723_000046\owners_social_pref_low_r3,,
owners_social_pref_high_r1,owners.social_pref=8 [rep 1],salience,4,plateauing,2,392964,360232,32732,0.4175,0,27,7,133530,False,0.417,1.979,1.458,1.688,2.0,2.0,0.505,,data\sensitivity_20260723_000046\owners_social_pref_high_r1,,
owners_social_pref_high_r2,owners.social_pref=8 [rep 2],salience,4,plateauing,2,482962,445481,37481,0.5028,0,30,14,159091,False,0.417,1.958,1.667,1.688,2.0,2.0,0.676,,data\sensitivity_20260723_000046\owners_social_pref_high_r2,,
owners_social_pref_high_r3,owners.social_pref=8 [rep 3],salience,4,plateauing,2,476819,438594,38225,0.501,0,28,12,163771,False,0.333,1.979,1.562,1.542,1.979,2.0,0.338,,data\sensitivity_20260723_000046\owners_social_pref_high_r3,,
investors_power_low_r1,investors.power=3 [rep 1],salience,4,plateauing,2,475455,436194,39261,0.5038,0,28,10,167486,False,0.333,1.979,1.542,1.667,1.938,2.0,0.267,,data\sensitivity_20260723_000046\investors_power_low_r1,,
investors_power_low_r2,investors.power=3 [rep 2],salience,4,plateauing,0,371644,340548,31096,0.3953,0,24,14,130025,False,0.417,1.979,1.625,1.688,1.958,2.0,0.317,,data\sensitivity_20260723_000046\investors_power_low_r2,,
investors_power_low_r3,investors.power=3 [rep 3],salience,4,plateauing,0,341214,313170,28044,0.3611,0,24,13,119188,True,0.25,1.979,1.521,1.604,1.958,2.0,0.577,,data\sensitivity_20260723_000046\investors_power_low_r3,,
investors_power_high_r1,investors.power=9 [rep 1],salience,4,plateauing,2,435537,401522,34015,0.4542,0,30,16,143353,False,0.333,1.979,1.583,1.667,2.0,2.0,0.603,,data\sensitivity_20260723_000046\investors_power_high_r1,,
investors_power_high_r2,investors.power=9 [rep 2],salience,4,plateauing,2,524625,483477,41148,0.5478,0,30,18,177050,False,0.417,2.0,1.646,1.688,2.0,2.0,0.615,,data\sensitivity_20260723_000046\investors_power_high_r2,,
investors_power_high_r3,investors.power=9 [rep 3],salience,4,plateauing,2,388099,354699,33400,0.4163,0,26,11,135155,False,0.333,1.938,1.396,1.646,1.958,1.979,0.246,,data\sensitivity_20260723_000046\investors_power_high_r3,,
mgmt_relational_prior_low_r1,mgmt.relational_prior=2 [rep 1],salience,4,plateauing,2,465040,427874,37166,0.4882,0,30,16,154695,False,0.5,1.958,1.562,1.604,1.958,2.0,0.523,,data\sensitivity_20260723_000046\mgmt_relational_prior_low_r1,,
mgmt_relational_prior_low_r2,mgmt.relational_prior=2 [rep 2],salience,4,plateauing,2,407939,374552,33387,0.4312,0,28,12,137899,False,0.167,1.979,1.521,1.583,2.0,2.0,0.598,,data\sensitivity_20260723_000046\mgmt_relational_prior_low_r2,,
mgmt_relational_prior_low_r3,mgmt.relational_prior=2 [rep 3],salience,4,plateauing,2,419870,387111,32759,0.4377,0,29,10,133954,False,0.667,2.0,1.521,1.625,2.0,2.0,0.63,,data\sensitivity_20260723_000046\mgmt_relational_prior_low_r3,,
mgmt_relational_prior_high_r1,mgmt.relational_prior=8 [rep 1],salience,4,plateauing,2,478281,440905,37376,0.4989,0,30,11,157050,False,0.083,1.958,1.479,1.75,1.979,2.0,0.308,,data\sensitivity_20260723_000046\mgmt_relational_prior_high_r1,,
mgmt_relational_prior_high_r2,mgmt.relational_prior=8 [rep 2],salience,4,plateauing,2,454818,418741,36077,0.4764,0,29,14,151002,False,0.167,1.958,1.458,1.688,2.0,2.0,0.695,,data\sensitivity_20260723_000046\mgmt_relational_prior_high_r2,,
mgmt_relational_prior_high_r3,mgmt.relational_prior=8 [rep 3],salience,4,plateauing,2,456223,420178,36045,0.4773,0,29,15,150766,False,0.25,1.958,1.562,1.688,1.958,2.0,0.509,,data\sensitivity_20260723_000046\mgmt_relational_prior_high_r3,,
igmetall_flexibility_low_r4,igmetall.flexibility=2 [rep 4],salience,4,plateauing,2,461758,425771,35987,0.4813,0,30,6,154188,False,0.417,1.979,1.5,1.604,2.0,2.0,0.569,,data\sensitivity_20260723_000046\igmetall_flexibility_low_r4,0.2504,62
igmetall_flexibility_low_r5,igmetall.flexibility=2 [rep 5],salience,4,plateauing,2,464843,428965,35878,0.4832,0,30,13,150093,False,0.333,1.958,1.479,1.604,2.0,2.0,0.726,,data\sensitivity_20260723_000046\igmetall_flexibility_low_r5,0.2447,62
igmetall_flexibility_low_r6,igmetall.flexibility=2 [rep 6],salience,4,plateauing,2,381921,352335,29586,0.3974,0,28,12,118422,False,0.25,1.979,1.5,1.708,2.0,2.0,0.471,,data\sensitivity_20260723_000046\igmetall_flexibility_low_r6,0.2271,62
igmetall_flexibility_high_r4,igmetall.flexibility=8 [rep 4],salience,4,plateauing,2,492010,452449,39561,0.5174,0,29,8,167737,False,0.333,1.979,1.604,1.812,1.979,2.0,0.315,,data\sensitivity_20260723_000046\igmetall_flexibility_high_r4,0.2623,62
igmetall_flexibility_high_r5,igmetall.flexibility=8 [rep 5],salience,4,plateauing,2,525606,484793,40813,0.5473,0,30,2,176089,False,0.25,1.958,1.583,1.729,2.0,2.0,0.655,,data\sensitivity_20260723_000046\igmetall_flexibility_high_r5,0.2641,62
igmetall_flexibility_high_r6,igmetall.flexibility=8 [rep 6],salience,4,plateauing,2,381453,348747,32706,0.4087,0,26,8,136063,False,0.5,1.979,1.688,1.792,1.979,2.0,0.283,,data\sensitivity_20260723_000046\igmetall_flexibility_high_r6,0.2584,62
works_dependency_low_r4,works.dependency=2 [rep 4],salience,4,plateauing,2,496348,456445,39903,0.5219,0,30,12,165105,False,0.333,1.979,1.583,1.646,1.938,2.0,0.304,,data\sensitivity_20260723_000046\works_dependency_low_r4,0.2487,62
works_dependency_low_r5,works.dependency=2 [rep 5],salience,4,plateauing,0,351608,322606,29002,0.3725,0,24,15,121291,False,0.5,1.979,1.583,1.646,1.979,2.0,0.362,,data\sensitivity_20260723_000046\works_dependency_low_r5,0.2496,62
works_dependency_low_r6,works.dependency=2 [rep 6],salience,4,plateauing,2,385278,354700,30578,0.4036,0,28,9,125197,False,0.5,1.979,1.604,1.708,2.0,2.0,0.563,,data\sensitivity_20260723_000046\works_dependency_low_r6,0.2267,62
works_dependency_high_r4,works.dependency=8 [rep 4],salience,4,plateauing,2,505532,465621,39911,0.5288,0,30,18,169800,True,0.5,1.979,1.667,1.729,2.0,2.0,0.493,,data\sensitivity_20260723_000046\works_dependency_high_r4,0.2467,62
works_dependency_high_r5,works.dependency=8 [rep 5],salience,4,plateauing,1,339604,310895,28709,0.3624,0,25,7,119179,False,0.417,1.979,1.458,1.583,1.938,2.0,0.259,,data\sensitivity_20260723_000046\works_dependency_high_r5,0.2349,62
works_dependency_high_r6,works.dependency=8 [rep 6],salience,4,plateauing,2,441176,404931,36245,0.4668,0,28,13,148747,False,0.333,1.979,1.417,1.729,2.0,2.0,0.477,,data\sensitivity_20260723_000046\works_dependency_high_r6,0.2556,62
works_cooperativeness_low_r4,works.cooperativeness=2 [rep 4],salience,4,plateauing,2,379214,346997,32217,0.4052,0,27,9,133662,False,0.083,1.979,1.521,1.583,1.958,1.979,0.104,,data\sensitivity_20260723_000046\works_cooperativeness_low_r4,0.232,62
works_cooperativeness_low_r5,works.cooperativeness=2 [rep 5],salience,4,plateauing,2,386552,355377,31175,0.4068,0,27,12,131558,False,0.5,1.979,1.604,1.583,1.979,2.0,0.395,,data\sensitivity_20260723_000046\works_cooperativeness_low_r5,0.2373,62
works_cooperativeness_low_r6,works.cooperativeness=2 [rep 6],salience,4,plateauing,2,507713,468063,39650,0.5295,0,30,12,167636,False,0.333,1.979,1.521,1.771,1.979,2.0,0.219,,data\sensitivity_20260723_000046\works_cooperativeness_low_r6,0.2524,62
works_cooperativeness_high_r4,works.cooperativeness=8 [rep 4],salience,4,plateauing,2,517327,477108,40219,0.5388,0,30,9,170305,False,0.333,1.979,1.5,1.75,1.979,2.0,0.286,,data\sensitivity_20260723_000046\works_cooperativeness_high_r4,0.2563,62
works_cooperativeness_high_r5,works.cooperativeness=8 [rep 5],salience,4,plateauing,2,477897,439527,38370,0.5023,0,29,15,161856,False,0.25,1.979,1.646,1.688,1.979,2.0,0.298,,data\sensitivity_20260723_000046\works_cooperativeness_high_r5,0.2542,62
works_cooperativeness_high_r6,works.cooperativeness=8 [rep 6],salience,4,plateauing,2,473921,434899,39022,0.5018,0,28,11,163837,False,0.333,1.979,1.625,1.729,1.979,2.0,0.275,,data\sensitivity_20260723_000046\works_cooperativeness_high_r6,0.2502,62
mgmt_relational_prior_low_r4,mgmt.relational_prior=2 [rep 4],salience,4,plateauing,2,493672,454355,39317,0.5177,0,29,15,166203,False,0.583,1.979,1.521,1.646,2.0,2.0,0.614,,data\sensitivity_20260723_000046\mgmt_relational_prior_low_r4,0.2591,62
mgmt_relational_prior_low_r5,mgmt.relational_prior=2 [rep 5],salience,4,plateauing,2,467529,431014,36515,0.4876,0,29,5,154320,False,0.5,1.958,1.562,1.667,1.979,2.0,0.283,,data\sensitivity_20260723_000046\mgmt_relational_prior_low_r5,0.2516,62
mgmt_relational_prior_low_r6,mgmt.relational_prior=2 [rep 6],salience,4,plateauing,2,430978,398307,32671,0.4457,0,30,9,131677,False,0.25,1.979,1.5,1.688,1.979,2.0,0.314,,data\sensitivity_20260723_000046\mgmt_relational_prior_low_r6,0.2303,62
